YEAR,WAVE,SUB_REG,ST,SP_CODE,MODE_FX,AREA_X,ESTCLAIM,ESTCLVAR,ESTHARV,ESTHVAR,LANDING,LAND_VAR,ESTREL,ESTRLVAR,TOT_CAT,TOT_VAR,LBS_AB1,VAR_LBS,WGT_AB1,VAR_WAB1,MISS_FISH,ALT_FLAG,MODE,AREA,STATUS,DOWNLOAD
2010,3,4,25,8850030302,7,5,59541.290322,3128169750.1,2550670.1107,1.962128E12,2610211.401,1.9604988E12,90217.583517,5164864883.7,2700428.9845,2.1286066E12,1701037.3129,965719509489,771585.46352,198697040693,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,3,4,33,8850030302,4,1,8496.3141387,38237420.576,0,0,8496.3141387,38237420.576,0,0,8496.3141387,38237420.576,5706.6494964,16534384.538,2588.5192309,3401953.9267,0,0,PARTY BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,33,8850030302,4,2,4018.3008512,18507205.208,0,0,4018.3008512,18507205.208,0,0,4018.3008512,18507205.208,2569.1426564,7565408.4748,1165.3554642,1556584.7648,0,0,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,33,8850030302,5,1,0,0,942.1556224,396580.52678,942.1556224,396580.52678,0,0,942.1556224,396580.52678,476.505736,101443.06506,216.14158396,20871.937067,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,33,8850030302,7,1,188495.13423,6886766193.2,249755.02837,21445687605,438250.1626,22938652744,26057.046492,163863970.03,464307.20909,24415784456,283357.74136,11176335163,128530.22832,2299533871.7,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,33,8850030302,7,2,0,0,1631.1409718,2285447.986,1631.1409718,2285447.986,293.90667675,80984.698813,1925.0476486,2494146.7558,1049.7972903,991795.92979,476.18492713,204062.27096,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,3,4,33,8850030302,7,5,0,0,9103.4742826,80911432.452,9103.4742826,80911432.452,2606.438995,4305916.8522,11709.913278,86062342.085,5275.1587544,27168559.91,2392.7963143,5589938.2802,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,3,1,301120.75356,19260001560,850366.24414,295652879230,1151486.9977,422495940293,176542.91857,12891354754,1328029.9163,547321592178,727874.95209,193111208994,330161.91241,39732681565,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,3,5,97890.626258,9519309298.5,0,0,97890.626258,9519309298.5,16315.104376,279593938.11,114205.73063,9946344418.9,24952.993631,618541061.99,11318.603661,127264984.66,0,0,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,4,2,32.016731515,1088.4832301,0,0,32.016731515,1088.4832301,0,0,32.016731515,1088.4832301,28.233634519,846.45004262,12.806692606,174.15731681,0,0,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,5,1,1738.9420217,2777298.4783,17435.049908,79166795.145,19173.991929,78906987.735,413.75386664,213604.84933,19587.745796,79231192.796,5803.1822531,6676698.1446,2632.3062021,1373732.3829,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,5,2,0,0,27953.25,36216118.176,27953.25,36216118.176,0,0,27953.25,36216118.176,9243.8602425,3960445.3321,4192.9875,814862.65896,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,5,5,0,0,1158.6029432,1299852.843,1158.6029432,1299852.843,0,0,1158.6029432,1299852.843,374.73096906,135976.57752,169.97685252,27977.216253,0,0,CHARTER BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,7,1,256542.1999,26379077568,380935.11352,24371110598,637477.31342,38242121236,45843.369911,726034442.75,683320.68333,38302470147,158321.09449,3751673736.2,71813.977361,771907848.72,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,7,2,0,0,114789.46722,5482734443.8,114789.46722,5482734443.8,0,0,114789.46722,5482734443.8,15385.925669,114143753.5,6979.0101011,23485107.022,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,23,8850030302,7,5,0,0,77148.372927,1990960400.5,77148.372927,1990960400.5,26257.810518,608097451.76,103406.18344,3012269065.7,18986.440695,118518007.87,8612.1930032,24385110.999,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,25,8850030302,3,1,0,0,1686097.9786,1.2640013E12,1686097.9786,1.2640013E12,0,0,1686097.9786,1.2640013E12,926342.23846,381526621182,420186.08295,78499201714,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,25,8850030302,7,1,15360.180393,116724117.91,319722.18716,59270218372,335082.36755,63604658744,0,0,335082.36755,63604658744,206574.86497,25136447952,93701.744065,5171830715.4,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,25,8850030302,7,2,0,0,241916.67209,10429847144,241916.67209,10429847144,29735.364395,783147860.88,271652.03649,13652521604,135435.10698,3328337862,61432.961524,684806382.31,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,25,8850030302,7,5,3917.4345536,15686389.73,134314.66758,17726336883,138232.10214,17709263027,67202.836537,4263170046.4,205434.93867,20678082359,91495.153352,7988773805.7,41501.929308,1643692292,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,3,5,0,0,858.22763582,658713.4576,858.22763582,658713.4576,0,0,858.22763582,658713.4576,283.80729689,72034.187255,128.73414537,14821.052796,0,0,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,4,1,49504.888659,1322281091.4,429.47235797,186839.0277,49934.361017,1320818587.4,1047.8121874,282013.49182,50982.173205,1317946145.1,19349.703367,171889367.05,8776.9678704,35366282.055,0,0,PARTY BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,5,1,0,0,1112.4966271,349386.29871,1112.4966271,349386.29871,52.855636117,2098.7524519,1165.3522632,356913.62655,583.00399557,93929.485551,264.44887761,19326.016125,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,5,2,0,0,637.4892995,450711.34661,637.4892995,450711.34661,0,0,637.4892995,450711.34661,257.65830011,73627.654757,116.87303824,15148.90915,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,7,1,8695.3585756,60435916.677,96575.57571,1436920726.1,105270.93429,1406754109.8,9688.8715807,72632179.082,114959.80587,1507317024.5,70825.603691,811400728.7,32126.283086,166945911.34,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,7,2,1600.8793488,2576027.0429,31774.205547,215193635.54,33375.084895,224538896.58,5440.6792722,17797195.664,38815.764168,280875750.18,22374.085838,99369226.145,10148.81876,20445244.17,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,4,4,33,8850030302,7,5,150.46176763,24312.302798,19890.735709,85676083.045,20041.197477,86107689.369,3644.2675054,6924777.9823,23685.464982,123690558.02,14173.777212,46065123.115,6429.1831678,9477911.0831,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,4,4,44,8850030302,7,1,0,0,877.81416771,798898.89114,877.81416771,798898.89114,0,0,877.81416771,798898.89114,290.28436712,87364.288156,131.67212516,17975.225051,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,23,8850030302,3,1,0,0,106474.89542,10246958511,106474.89542,10246958511,205474.08009,31554408726,311948.97551,50646966815,50535.105563,2565771857,22922.573511,527908228.09,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,23,8850030302,5,1,0,0,2314.6613978,2137077.1265,2314.6613978,2137077.1265,0,0,2314.6613978,2137077.1265,725.30247406,225219.31025,328.99504403,46338.931764,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,23,8850030302,5,5,0,0,73.527727418,8654.7033024,73.527727418,8654.7033024,0,0,73.527727418,8654.7033024,24.31488418,946.44266202,11.029159113,194.7308243,0,0,CHARTER BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,5,4,23,8850030302,7,1,0,0,166470.8804,17209115902,166470.8804,17209115902,79455.063561,3661544674.5,245925.94396,36725863880,77799.459568,3483533149.6,35289.60336,716737853.16,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,25,8850030302,7,1,0,0,388198.78545,144308631696,388198.78545,144308631696,0,0,388198.78545,144308631696,183285.73677,32169277238,83137.864814,6618837173.4,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,25,8850030302,7,5,0,0,130807.34829,13679240474,130807.34829,13679240474,0,0,130807.34829,13679240474,64267.24827,3352618268.7,29151.432582,689802082.31,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,5,4,33,8850030302,7,1,18832.19288,312590042.18,18578.13225,107472164.22,37410.32513,412238306.86,9443.108784,54610000.498,46853.433914,425641996.86,17815.977934,100409470.55,8081.2745777,20659274.728,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,33,8850030302,7,2,0,0,33214.82369,244326292.1,33214.82369,244326292.1,2049.8908049,2747870.3908,35264.714495,258182927.2,19762.87169,92486319.734,8964.3797922,19029084.382,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2010,5,4,33,8850030302,7,5,0,0,1999.1309556,2413074.2775,1999.1309556,2413074.2775,0,0,1999.1309556,2413074.2775,974.29522364,505944.50394,441.93741433,104098.21351,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,6,4,25,8850030302,3,5,0,0,21515.886429,266540916.9,21515.886429,266540916.9,0,0,21515.886429,266540916.9,10946.275357,70877192.232,4965.1979304,14583000.769,0,0,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2010,6,4,25,8850030302,7,1,100350.83208,1168324474.9,0,0,100350.83208,1168324474.9,0,0,100350.83208,1168324474.9,59269.871376,413689068.49,26884.637293,85116633.627,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2010,6,4,25,8850030302,7,5,0,0,6225002.4891,2.5495084E13,6225002.4891,2.5495084E13,0,0,6225002.4891,2.5495084E13,3276752.4298,7.0642272E12,1486325.1519,1.4534666E12,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2010,6,5,34,8850030302,4,1,63.082464728,148.98496787,0,0,63.082464728,148.98496787,0,0,63.082464728,148.98496787,20.860740261,16.292381687,9.4623697091,3.352161777,0,0,PARTY BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,2,4,25,8850030302,7,5,0,0,19953.955007,655448888.84,19953.955007,655448888.84,0,0,19953.955007,655448888.84,10997.622302,199103298.55,4988.4887518,40965555.553,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,2,5,24,8850030302,4,2,0,0,0,0,0,0,8.744967,52.924105475,8.744967,52.924105475,0,0,0,0,0,0,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,2,6,37,8850030302,5,2,15.581291729,256.77793282,0,0,15.581291729,256.77793282,0,0,15.581291729,256.77793282,89.311340941,8436.53282,40.511358496,1735.8188258,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,23,8850030302,3,1,213905.67355,22176041251,92124.862127,5900906318.7,306030.53567,50652516110,113550.86393,8515885574.1,419581.3996,57479095196,94733.762482,5224155503.3,42970.952772,1074871356,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,23,8850030302,5,1,22.985228438,569.33641338,11032.292351,26704810.682,11055.27758,26774889.047,199.20531313,42763.490605,11254.482893,27429932.621,4431.9681537,3954208.7004,2010.3275668,813579.47037,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,23,8850030302,5,2,491.08832159,210481.76119,0,0,491.08832159,210481.76119,350.25548746,105582.56867,841.34380905,614110.84937,259.83679531,58924.588538,117.86119718,12123.749444,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,23,8850030302,7,1,152727.46868,7057495806.6,128984.31436,4090159982.9,281711.78304,14970069327,78983.740234,1833825552.2,360695.52328,20020914422,64937.243001,823782133.28,29455.340198,169493388.56,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,23,8850030302,7,2,0,0,280734.56356,30689842835,280734.56356,30689842835,7576.3498301,23356957.815,288310.91339,32396104912,60220.459799,1410948136.7,27315.821373,290302946.74,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,23,8850030302,7,5,54075.391565,1245693261.8,182040.94827,11153340533,236116.33983,15191648099,43824.562217,1336014227,279940.90205,18934713123,63727.876796,1054544547.8,28906.775286,216972815.47,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,3,4,25,8850030302,4,2,54.891984187,2513.3307488,0,0,54.891984187,2513.3307488,155.48171369,20164.637673,210.37369787,36916.002542,48.405947335,1954.4710113,21.956793675,402.13291981,0,0,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,25,8850030302,5,1,0,0,6898.63262,50845744.476,6898.63262,50845744.476,0,0,6898.63262,50845744.476,3371.4491129,12144000.974,1529.2792855,2498631.3645,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,25,8850030302,7,1,0,0,1671386.2284,679587606252,1671386.2284,679587606252,5974.3420869,32901009.706,1677360.5705,678666815960,921184.51978,206435827968,417846.5571,42474225391,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,25,8850030302,7,2,0,0,209062.29892,26982086802,209062.29892,26982086802,0,0,209062.29892,26982086802,117008.89319,8331756863.9,53074.885781,1714261145.6,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,25,8850030302,7,5,16808.496452,289638990.37,1229987.1641,532563518272,1246795.6606,533318727742,21218.598483,176081691.33,1268014.2591,532314349105,807149.39244,222232118355,366120.56266,45724316254,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,3,1,0,0,13414.984203,73938204.889,13414.984203,73938204.889,0,0,13414.984203,73938204.889,5369.3471945,14130367.462,2435.5199104,2907326.787,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,4,1,48558.710173,88285620.96,4829.0554042,21573456.412,53387.765577,46959573.315,2352.9711896,6401943.2579,55740.736767,36447360.698,14954.379449,972327.53452,6783.2620199,200056.64356,0,0,PARTY BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,4,2,1049.031032,1146054.3233,0,0,1049.031032,1146054.3233,543.91867241,232304.75496,1592.9497044,2398549.2406,259.23381176,69986.105042,117.58768564,14399.659347,0,0,PARTY BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,5,1,0,0,11756.353912,16313408.661,11756.353912,16313408.661,0,0,11756.353912,16313408.661,5543.1201112,3626669.5921,2514.3427883,746188.2135,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,5,2,0,0,72.062233092,5615.242049,72.062233092,5615.242049,0,0,72.062233092,5615.242049,39.717099768,1705.7214272,18.015558273,350.95262806,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,7,1,135514.27217,9374521122.6,1101172.3436,448553079108,1236686.6158,419779752517,18835.910861,168962443.04,1255522.5266,416863234340,321547.42338,30549793406,145852.95445,6285627952.9,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,7,2,2046.3804922,3720106.9342,0,0,2046.3804922,3720106.9342,2979.9255971,5330060.4057,5026.3060893,9901858.607,360.91603465,115716.42396,163.71043938,23808.684379,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,3,4,33,8850030302,7,5,21231.201943,174607279.6,184904.97105,12778061755,206136.17299,13382025735,50890.71761,1435360416,257026.8906,17542123310,92426.420049,3674982200.2,41924.34911,756128545.2,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,3,1,261536.39337,16146284988,268433.98864,17550580878,529970.38201,33129615148,42361.431303,637745875.71,572331.81332,37704571502,271726.1709,11208887642,123254.18257,2306231552.7,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,3,5,0,0,44341.441371,1943065558,44341.441371,1943065558,0,0,44341.441371,1943065558,35173.641275,1223503602.1,15954.65902,251736184.91,0,0,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,5,1,1688.5801035,2878727.1552,30691.01372,247768081.44,32379.593824,265283494.29,11799.654798,117469014.97,44179.248622,469368295.79,10806.791492,29375249.039,4901.9284643,6043965.1435,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,5,2,0,0,9484.0157525,35527686.422,9484.0157525,35527686.422,3015.0064418,2780720.1272,12499.022194,43827834.612,3310.5792037,4254795.9135,1501.6688758,875425.36778,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,5,5,5711.5925787,27097032.04,10197.743258,23876678.933,15909.335837,77361771.537,6738.666384,28976923.688,22648.002221,80740644.338,5314.0880743,7981880.1515,2410.4545379,1642273.9208,0,0,CHARTER BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,7,1,252187.43107,17935028203,1008886.8832,131415452105,1261074.3142,143590376587,328011.18169,51938900720,1589085.4959,292372210773,517230.45113,21583468553,234614.19357,4440804278.3,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,7,2,0,0,246233.95939,19312047974,246233.95939,19312047974,0,0,246233.95939,19312047974,89601.110508,2556611010.9,40642.79711,526023381.61,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,23,8850030302,7,5,83652.300636,1854024148.4,568294.22146,56459829642,651946.52209,71291100556,260.71120786,75312.768783,652207.2333,71292596347,440072.77595,30185521436,199615.70169,6210678900.1,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,4,4,25,8850030302,5,1,0,0,23450.202579,540014355.66,23450.202579,540014355.66,0,0,23450.202579,540014355.66,11115.13807,121322634.17,5041.7935544,24962163.59,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,25,8850030302,7,1,0,0,761457.75074,121060677882,761457.75074,121060677882,208142.77785,38394794533,969600.52859,184103062836,432365.45571,38365213755,196119.68417,7893652726,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,25,8850030302,7,2,0,0,252391.5988,63243573055,252391.5988,63243573055,0,0,252391.5988,63243573055,139105.62968,19211267609,63097.899699,3952723315.9,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,25,8850030302,7,5,0,0,324952.2719,23416168991,324952.2719,23416168991,4994.4926362,24765078.29,329946.76454,23480756117,180593.70473,7198404311.8,81916.767093,1481073562.7,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,3,5,50122.370404,946860913.05,48033.338244,1087335300.4,98155.708648,3766026248.9,0,0,98155.708648,3766026248.9,27689.252934,287607338.48,12559.762739,59175284.828,0,0,SHORE,INLAND,FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,4,1,44394.713736,180894953.94,1106.0005033,1369613.3307,45500.71424,197277482.37,17685.364595,158123118.61,63186.078834,591727450.27,15492.398701,21651101.246,7027.3059517,4454719.7225,0,0,PARTY BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,5,1,0,0,1252.0945277,920028.56158,1252.0945277,920028.56158,852.36682547,426220.8142,2104.4613532,2587028.6707,415.48638839,101104.49419,188.46338946,20802.276023,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,5,2,0,0,584.18699501,355613.13484,584.18699501,355613.13484,0,0,584.18699501,355613.13484,217.10291515,49114.003216,98.477236302,10105.218958,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,7,1,118429.26123,1816820844.6,299484.92357,11172873990,417914.18481,14715001810,178699.33088,5873538541.2,596613.51569,33946587939,147409.57589,1789836796.7,66864.544992,368259387.27,0,0,PRIVATE/RENTAL BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,7,2,10721.08467,51091025.656,55990.997544,851668398.24,66712.082214,837918911.76,4448.4102238,16919521.828,71160.492438,879226867.01,20666.791775,76041040.965,9374.3952532,15645463.991,0,0,PRIVATE/RENTAL BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,4,4,33,8850030302,7,5,44580.937052,1312651076.7,195004.88782,11593097642,239585.82487,12183211293,20595.654767,92965622.141,260181.47964,13239686661,58130.304475,678640741.59,26367.733137,139630509.4,0,0,PRIVATE/RENTAL BOAT,INLAND,FINAL,24MAR2021:12:06:10
2011,4,5,51,8850030302,5,2,27.487657159,791.48924985,549.75314319,316595.69994,577.24080035,349046.75919,0,0,577.24080035,349046.75919,190.88776027,38170.314151,86.586120052,7853.5520817,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,5,4,23,8850030302,3,1,517476.46055,306606493471,168116.35471,26909508117,685592.81525,515097694455,420459.40428,192987679653,1106052.2195,1.3386644E12,335804.37614,123710418275,152319.8658,25453450793,0,0,SHORE,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,5,4,23,8850030302,5,1,167.63102924,31600.064582,2539.6658405,1550619.2086,2707.2968698,1635553.7068,0,0,2707.2968698,1635553.7068,1420.2116058,487864.71314,644.20375841,100378.29184,0,0,CHARTER BOAT,OCEAN (<= 3 MI),FINAL,24MAR2021:12:06:10
2011,5,4,23,8850030302,5,2,0,0,2346.594056,1412819.6238,2346.594056,1412819.6238,0,0,2346.594056,1412819.6238,1178.0955463,355448.39552,534.38063425,73133.599989,0,0,CHARTER BOAT,OCEAN (> 3 MI),FINAL,24MAR2021:12:06:10
2011,5,4,23,8850030302,5,5,0,0,0,0,0,0,118.85404608,11163.20008,118.85404608,11163.20008,0,0,0,0,0,0,CHARTER BOAT,INLAND,FINAL,24MAR2021:12:06:10
